Exchange_Name,Exchange_Primary_Type,Municipality,Sub_Region,YearOpen,Line_Connections,Connecting_Stops,Rail_SeaBus_Connections,BusExch_MF_Avg_Daily_Boardings,BusExch_MF_Avg_Daily_Alightings,BusExch_Sat_Avg_Daily_Boardings,BusExch_Sat_Avg_Daily_Alighting,BusExch_SunHol_Avg_Daily_Boardings,BusExch_SunHol_Avg_Daily_Alightings,Rail_MF_Avg_Daily_Boardings,Rail_MF_Avg_Daily_Alightings,Rail_Sat_Avg_Daily_Boardings,Rail_Sat_Avg_Daily_Alightings,Rail_SunHol_Avg_Daily_Boardings,Rail_SunHol_Avg_Daily_Alightings,SeaBus_MF_Avg_Daily_Boardings,SeaBus_MF_Avg_Daily_Alightings,SeaBus_Sat_Avg_Daily_Boardings,SeaBus_Sat_Avg_Daily_Alightings,SeaBus_SunHol_Avg_Daily_Boardings,SeaBus_SunHol_Avg_Daily_Alightings,Population,Employment,Population_Employment_Area,BusExch_On_Off_Street,Bike_Parkade,Bike_Locker_s_,TSPR_Year,Exch_Centre_Longitude,Exch_Centre_Latitude,OBJECTID,GlobalID,x,y
Aberdeen,Station,Richmond,Southwest,2009,403; 410; N10,56564; 58198,Canada Line,1000,1100,700,760,600,620,3480,3690,3890,4050,3170,3290,0,0,0,0,0,0,5000,17000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-123.136286,49.184448,189,3d828849-5a45-4b4e-bab9-a16c63731c88,-13707464.2568073,6306163.08450916
Blanca,Loop,UBC/UEL,Vancouver/UBC,1930,004; 014,50273; 50600,None,40,40,40,50,40,40,0,0,0,0,0,0,0,0,0,0,0,0,5600,1500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-123.215644,49.265128,190,1f9f2a48-3e8d-4cdc-93e7-62781992599a,-13716302.7146085,6319968.45300929
Boundary,Loop,Vancouver,Vancouver/UBC,1953,009; 099; N9,50901; 52092,None,530,410,280,240,190,180,0,0,0,0,0,0,0,0,0,0,0,0,3600,7500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-123.025191,49.265474,191,ba648092-01b0-46ef-b80a-5c38032b92b5,-13695101.599111,6320027.46568175
Braid,Station,New Westminster,Burnaby/New Westminster,2002,128; 153; 155; 156; 159; 169; 791,58079; 58082; 58083; 58084; 58085; 58086,Expo/Millennium Line,3400,3100,1900,1800,1400,1200,3820,3800,2500,2440,1860,1880,0,0,0,0,0,0,3000,5000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.882803,49.233244,192,77d827bc-b1be-479c-bd93-faeb7d660c26,-13679256.4812088,6314466.49742713
Brentwood Town Centre,Station,Burnaby,Burnaby/New Westminster,2002,025; 123; 130; 134; 136; 222; N9,51389; 60329; 60515; 60516; 61802; 61803,Expo/Millennium Line,4700,3600,2800,2000,2100,1600,6580,6940,4910,5140,3670,3890,0,0,0,0,0,0,17000,14000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.001664,49.266384,193,854c92d7-1702-4cbf-9e2e-1e2f72717eaf,-13692539.1021441,6320169.3589894
Bridgeport,Station,Richmond,Southwest,2009,311; 351; 352; 354; 403; 407; 412; 430; 601; 602; 603; 604; 620; N10,61321; 61323; 61324; 61325; 61326; 61327; 61328; 61329; 61330; 61331; 61693,Canada Line,8900,7900,6300,5900,5900,5400,9320,9710,7990,8120,6680,6790,0,0,0,0,0,0,4000,5000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-123.125904,49.195535,194,c6c6e3a0-47c2-4d0a-a095-1e4e179549bf,-13706457.1996898,6308036.54302692
Broadway-City Hall,Station,Vancouver,Vancouver/UBC,2009,009; 015/050; 017; 099; N15; N9,50875; 58501; 60307; 60535; 61027,Canada Line,8500,8300,6400,5900,5000,4500,10580,10540,7560,7630,5980,6230,0,0,0,0,0,0,18000,35000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-123.114815,49.262731,195,90cf03fa-92bc-4d14-9079-63c8437c5e60,-13704938.6989268,6319650.72972199
Burquitlam,Station,Coquitlam,Northeast Sector,2016,143; 151; 156; 157; 180; N9,53122; 53208; 59531; 59554; 59557; 59561,Expo/Millennium Line,2500,2500,990,910,750,680,4580,4670,3160,3170,2350,2420,0,0,0,0,0,0,13000,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.889868,49.261426,196,b2cf7f80-87d9-43f1-a12a-4947a98273d5,-13679973.4776337,6319316.96085653
Burrard,Station,Vancouver,Vancouver/UBC,1985,002; 005/006; 019; 022; 044; 209; 210; 211; 214; N22; N24; R5,50031; 50043; 50076; 50405; 51842; 51843; 53312; 58099,Expo/Millennium Line,8900,7500,6500,5300,5400,4300,18500,19220,11900,12600,9280,9300,0,0,0,0,0,0,28000,136000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.119346,49.285628,197,1ba958fd-a591-490e-b0c9-f0d205ce14c0,-13705694.7270064,6323497.02501144
Capilano University,Exchange,North Vancouver District,North Shore,2009,245; 255,54423; 61070; 61071; 61239,None,1700,790,170,70,120,120,0,0,0,0,0,0,0,0,0,0,0,0,2600,400,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-123.018632,49.319256,198,5b821861-9d71-4b79-8f52-2f3cf6afcc7d,-13694371.4244084,6329207.14492726
Carvolth,Exchange,Langley Township,Southeast,2012,388; 501; 509; 555; 562; 595,61709; 61710; 61711; 61712; 61714; 61715; 61716; 61717; 61719; 61720,None,3400,3200,1800,1800,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,5500,4900,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.659479,49.160287,199,e4dd168b-2500-4e25-bad4-91e65fe861db,-13654390.7001647,6302102.59920618
Caulfeild,Exchange,West Vancouver,North Shore,,253; 262,54704; 60887,None,300,150,20,20,10,20,0,0,0,0,0,0,0,0,0,0,0,0,2400,400,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.252445,49.350696,200,6d90fd5a-93c2-4654-9d13-cbd35a4772a8,-13720399.4349136,6334577.96732025
Cloverdale,Exchange,Surrey,Southeast,,320; 342,55982; 59590; 59795,None,310,390,180,260,140,190,0,0,0,0,0,0,0,0,0,0,0,0,5600,6100,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-122.733575,49.107789,201,03ed4e1f-e50d-4952-b489-04b1e3e85ec1,-13662639.1065672,6293170.71720158
Columbia,Station,New Westminster,Burnaby/New Westminster,1989,102/103; 105; 109; 321; N19,52317; 52331; 52431,Expo/Millennium Line,250,510,230,370,160,260,4120,3540,2960,2610,2230,1940,0,0,0,0,0,0,15000,9000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-122.906383,49.204672,202,f7fc14ce-d663-489c-ba28-3c8cb9d98395,-13681876.0183057,6309667.54474633
Commercial-Broadway,Station,Vancouver,Vancouver/UBC,1985,009; 020; 099; N20; N9,50913; 50963; 52094; 52102; 58327; 58402; 58491; 58620; 58621,Expo/Millennium Line,17000,15200,11700,10500,9000,8100,19090,19970,14840,15400,11350,11770,0,0,0,0,0,0,15000,9000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2023,-123.068793,49.262418,203,443d3434-5c4b-430c-81c2-d22001489101,-13699912.9603028,6319529.91955508
Coquitlam Central,Station,Coquitlam,Northeast Sector,1991,150; 151; 152; 153; 159; 160; 169; 171/172; 173/174; 175; 179; 183; 184/185; 186; 187; 188; 189; 191; 701; N9; R3,53021; 53035; 53161; 53170; 53299; 53357; 53495; 53730; 53864; 53866; 53887; 57570; 60390; 61306,Expo/Millennium Line; West Coast Express,6200,990,4800,750,3700,700,5370,5640,3810,3950,2770,2940,0,0,0,0,0,0,5000,7000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-122.800292,49.274416,204,50d7c41e-e3ec-4e35-9916-1dc9f3e1b687,-13670026.4130015,6321683.80250929
Deep Cove,Exchange,North Vancouver District,North Shore,,211; 212,54053; 59518,None,200,180,330,300,260,220,0,0,0,0,0,0,0,0,0,0,0,0,3200,700,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-122.950708,49.326254,205,7b4dbb82-06b0-4560-87bd-b42381e67f59,-13686810.2366775,6330402.20224606
Dunbar,Exchange,Vancouver,Vancouver/UBC,1950,002; 007; 041; 049; N22; R4,50298; 50640; 50737; 51893; 60393; 60394; 60745,None,2700,2600,2000,2000,1700,1600,0,0,0,0,0,0,0,0,0,0,0,0,5600,1500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-123.185596,49.234709,206,c153e502-76e0-4dfc-9146-d760e8dfb6fc,-13712957.8323571,6314780.8319821
Edgemont Village,Exchange,North Vancouver District,North Shore,,232; 246/249,54307; 58111,None,260,270,190,210,180,150,0,0,0,0,0,0,0,0,0,0,0,0,5000,1700,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.103668,49.338772,207,ff076e06-d4da-4621-85ab-bba8d2c5c18c,-13703837.5915095,6332540.58886074
Edmonds,Station,Burnaby,Burnaby/New Westminster,1985,101; 106; 112; 116; 119; 129/133; 147; 148,52453; 52605; 52667; 52771; 52992; 59868,Expo/Millennium Line,7900,6700,5200,4300,4000,3300,10660,10420,7370,7060,5700,5530,0,0,0,0,0,0,16000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-122.959192,49.212064,208,d27acbb3-ff92-4af1-b34b-0df3a377ccbc,-13687697.5863639,6310924.18978281
Gateway,Station,Surrey,Southeast,1994,335; 371; 373,55789; 55807; 58124,Expo/Millennium Line,1800,2700,1300,1600,980,1300,6310,5580,4650,4160,3730,3380,0,0,0,0,0,0,11000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-122.850601,49.198916,209,685bcfee-44e2-4e7e-9d73-792c97be88af,-13675685.2784742,6308689.01481239
Gilmore,Station,Burnaby,Burnaby/New Westminster,2002,028; 129/133,58345; 58346,Expo/Millennium Line,380,500,210,330,190,280,3450,3170,1950,1720,1290,1110,0,0,0,0,0,0,12000,15000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-123.013507,49.264956,210,19f4dd16-55ab-47f1-b518-7e3f4f72157f,-13693842.4381655,6319900.99189275
Granville,Station,Vancouver,Vancouver/UBC,1985,004; 007; 010; 014; 015/050; 016; 017; 020; N10; N15; N17; N19; N20; N24; N35; N8; N9,60993; 61519,Canada Line; Expo/Millennium Line,740,1800,910,1600,650,1300,17630,20170,14590,17300,11410,13140,0,0,0,0,0,0,31000,142000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.115675,49.28317,211,79eff4e6-26a7-49c0-98df-27387e84d630,-13705151.1387909,6323013.24711072
Guildford,Exchange,Surrey,Southeast,1975,320; 326; 335; 337; 341; 373; 375; 501; 509; R1,55128; 55130; 55131; 55760; 58175; 59237; 61597,None,4900,4900,4600,4600,3900,3800,0,0,0,0,0,0,0,0,0,0,0,0,15900,8500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-122.802726,49.191498,212,c38b17f8-c02c-4c45-bc6a-436e10695f16,-13670336.9126616,6307417.31460733
Haney Place,Exchange,Maple Ridge,Maple Ridge/Pitt Meadows,2008,701; 733; 741; 743; 744; 745/746; 748; 749; 791; R3,61057; 61058; 61059; 61060; 61061; 61062; 61063; 61064,None,2300,2400,1600,1700,1200,1300,0,0,0,0,0,0,0,0,0,0,0,0,9000,7500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-122.597069,49.219462,213,ace35ece-6e7e-42e0-85f5-7148c62f966d,-13647443.267259,6312181.8445095
Holdom,Station,Burnaby,Burnaby/New Westminster,2002,129/133; 136; N9,53302; 53309; 58342; 58343,Expo/Millennium Line,1300,1300,860,890,720,680,2670,2370,1920,1660,1410,1260,0,0,0,0,0,0,7000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-122.982137,49.264729,214,f540a9df-513f-4c0a-a032-50673b77ab3e,-13690325.6263812,6319912.27339533
Horseshoe Bay,Exchange,West Vancouver,North Shore,1961,250; 257; 262,54556,None,1500,1400,1700,1600,1700,1400,0,0,0,0,0,0,0,0,0,0,0,0,1500,300,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.272695,49.374277,215,92437b73-7d80-4fad-a6ef-58a5d1c4d0c9,-13722653.6152413,6338608.59228859
Inlet Centre,Station,Port Moody,Northeast Sector,2016,160; 179; 183; 184/185; N9,53267; 59569; 61988,Expo/Millennium Line,120,270,70,150,40,100,1980,1970,1470,1400,1050,1040,0,0,0,0,0,0,12000,5000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-122.828179,49.277299,216,07124ad5-ed46-4397-ac0a-cabf95531bdb,-13673091.9921242,6322080.07946787
Joyce-Collingwood,Station,Vancouver,Vancouver/UBC,1985,026; 027; 028; 041; R4,51671; 51722; 51787; 58249; 59664; 61609,Expo/Millennium Line,11000,9500,8300,7300,6400,5600,14860,15040,12650,12330,10320,10290,0,0,0,0,0,0,23000,5000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2023,-123.031806,49.238405,217,1c2e1357-fbd2-4093-8d25-e9181bedaf89,-13695822.9157858,6315393.21788142
King Edward,Station,Vancouver,Vancouver/UBC,2009,015/050; 025; 033; N15,50419; 50475; 51574; 60607,Canada Line,4000,4200,2800,3000,2400,2400,6130,6080,4870,4750,3920,4130,0,0,0,0,0,0,9000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2023,-123.115027,49.248556,218,7ec25475-50a4-4bd8-92d4-933af4902a1e,-13705142.0655732,6317221.72192089
King George,Station,Surrey,Southeast,1994,314; 321; 326; 329; 345; 394; 395; 502; 503; R1,54990; 59339; 60480; 60654,Expo/Millennium Line,5000,12200,2400,7400,1900,5700,14640,7150,9800,4580,7540,3520,0,0,0,0,0,0,16000,13000,Within 800m of centre point of location (all exchange points/facilities),On-Street,Yes,No,2023,-122.844749,49.182796,219,f237f1ec-4f45-41f1-a2b3-b30c0d93176a,-13674897.6301893,6305877.82977489
